Episode,Episode Score,Running Average
1,930.0,930.0
2,260.0,595.0
3,460.0,550.0
4,580.0,557.5
5,1180.0,682.0
6,680.0,681.6666666666666
7,1080.0,738.5714285714286
8,630.0,725.0
9,1180.0,775.5555555555555
10,1080.0,806.0
11,430.0,771.8181818181819
12,880.0,780.8333333333334
13,730.0,776.9230769230769
14,280.0,741.4285714285714
15,980.0,757.3333333333334
16,1080.0,777.5
17,980.0,789.4117647058823
18,360.0,765.5555555555555
19,780.0,766.3157894736842
20,930.0,774.5
21,880.0,779.5238095238095
22,480.0,765.9090909090909
23,430.0,751.304347826087
24,830.0,754.5833333333334
25,580.0,747.6
26,530.0,739.2307692307693
27,630.0,735.1851851851852
28,1180.0,751.0714285714286
29,1080.0,762.4137931034483
30,930.0,768.0
31,680.0,765.1612903225806
32,930.0,770.3125
33,1030.0,778.1818181818181
34,680.0,775.2941176470588
35,610.0,770.5714285714286
36,530.0,763.8888888888889
37,1180.0,775.1351351351351
38,730.0,773.9473684210526
39,1280.0,786.9230769230769
40,80.0,769.25
41,980.0,774.390243902439
42,580.0,769.7619047619048
43,730.0,768.8372093023256
44,830.0,770.2272727272727
45,430.0,762.6666666666666
46,880.0,765.2173913043479
47,480.0,759.1489361702128
48,510.0,753.9583333333334
49,830.0,755.5102040816327
50,580.0,752.0
51,530.0,747.6470588235294
52,830.0,749.2307692307693
53,160.0,738.1132075471698
54,530.0,734.2592592592592
55,430.0,728.7272727272727
56,310.0,721.25
57,430.0,716.140350877193
58,1030.0,721.551724137931
59,730.0,721.6949152542373
60,230.0,713.5
61,730.0,713.7704918032787
62,630.0,712.4193548387096
63,1180.0,719.8412698412699
64,930.0,723.125
65,480.0,719.3846153846154
66,710.0,719.2424242424242
67,130.0,710.4477611940298
68,330.0,704.8529411764706
69,1080.0,710.2898550724638
70,710.0,710.2857142857143
71,480.0,707.0422535211268
72,530.0,704.5833333333334
73,830.0,706.3013698630137
74,780.0,707.2972972972973
75,780.0,708.2666666666667
76,480.0,705.2631578947369
77,580.0,703.6363636363636
78,480.0,700.7692307692307
79,780.0,701.7721518987341
80,1130.0,707.125
81,630.0,706.1728395061729
82,1080.0,710.7317073170732
83,830.0,712.1686746987951
84,930.0,714.7619047619048
85,530.0,712.5882352941177
86,630.0,711.6279069767442
87,760.0,712.183908045977
88,680.0,711.8181818181819
89,980.0,714.8314606741573
90,730.0,715.0
91,880.0,716.8131868131868
92,680.0,716.4130434782609
93,1080.0,720.3225806451613
94,480.0,717.7659574468086
95,430.0,714.7368421052631
96,630.0,713.8541666666666
97,880.0,715.5670103092783
98,980.0,718.265306122449
99,760.0,718.6868686868687
100,330.0,714.8
101,980.0,715.3
102,280.0,715.5
103,1030.0,721.2
104,730.0,722.7
105,380.0,714.7
106,830.0,716.2
107,780.0,713.2
108,230.0,709.2
109,460.0,702.0
110,780.0,699.0
111,230.0,697.0
112,630.0,694.5
113,880.0,696.0
114,980.0,703.0
115,680.0,700.0
116,1030.0,699.5
117,830.0,698.0
118,630.0,700.7
119,160.0,694.5
120,360.0,688.8
121,530.0,685.3
122,630.0,686.8
123,1080.0,693.3
124,780.0,692.8
125,1180.0,698.8
126,480.0,698.3
127,580.0,697.8
128,560.0,691.6
129,730.0,688.1
130,980.0,688.6
131,430.0,686.1
132,1030.0,687.1
133,460.0,681.4
134,680.0,681.4
135,730.0,682.6
136,580.0,683.1
137,680.0,678.1
138,980.0,680.6
139,830.0,676.1
140,1180.0,687.1
141,1030.0,687.6
142,830.0,690.1
143,580.0,688.6
144,330.0,683.6
145,680.0,686.1
146,630.0,683.6
147,1080.0,689.6
148,880.0,693.3
149,210.0,687.1
150,580.0,687.1
151,980.0,691.6
152,880.0,692.1
153,380.0,694.3
154,880.0,697.8
155,1080.0,704.3
156,1080.0,712.0
157,860.0,716.3
158,630.0,712.3
159,1180.0,716.8
160,1030.0,724.8
161,280.0,720.3
162,1180.0,725.8
163,380.0,717.8
164,980.0,718.3
165,230.0,715.8
166,580.0,714.5
167,530.0,718.5
168,1180.0,727.0
169,380.0,720.0
170,780.0,720.7
171,880.0,724.7
172,630.0,725.7
173,830.0,725.7
174,580.0,723.7
