Episode,Episode Score,Running Average
1,980.0,980.0
2,530.0,755.0
3,480.0,663.3333333333334
4,930.0,730.0
5,680.0,720.0
6,530.0,688.3333333333334
7,460.0,655.7142857142857
8,980.0,696.25
9,1180.0,750.0
10,430.0,718.0
11,1080.0,750.9090909090909
12,880.0,761.6666666666666
13,430.0,736.1538461538462
14,1180.0,767.8571428571429
15,730.0,765.3333333333334
16,1030.0,781.875
17,430.0,761.1764705882352
18,680.0,756.6666666666666
19,460.0,741.0526315789474
20,730.0,740.5
21,330.0,720.952380952381
22,530.0,712.2727272727273
23,980.0,723.9130434782609
24,980.0,734.5833333333334
25,930.0,742.4
26,780.0,743.8461538461538
27,880.0,748.8888888888889
28,1180.0,764.2857142857143
29,280.0,747.5862068965517
30,1180.0,762.0
31,1080.0,772.258064516129
32,1080.0,781.875
33,480.0,772.7272727272727
34,530.0,765.5882352941177
35,980.0,771.7142857142857
36,730.0,770.5555555555555
37,830.0,772.1621621621622
38,1180.0,782.8947368421053
39,430.0,773.8461538461538
40,680.0,771.5
41,480.0,764.390243902439
42,580.0,760.0
43,1030.0,766.2790697674419
44,880.0,768.8636363636364
45,980.0,773.5555555555555
46,1030.0,779.1304347826087
47,1080.0,785.531914893617
48,730.0,784.375
49,460.0,777.7551020408164
50,210.0,766.4
