Episode,Episode Score,Running Average
1,930.0,930.0
2,1030.0,980.0
3,1180.0,1046.6666666666667
4,980.0,1030.0
5,1080.0,1040.0
6,430.0,938.3333333333334
7,1080.0,958.5714285714286
8,730.0,930.0
9,930.0,930.0
10,630.0,900.0
11,630.0,875.4545454545455
12,880.0,875.8333333333334
13,210.0,824.6153846153846
14,280.0,785.7142857142857
15,780.0,785.3333333333334
16,1180.0,810.0
17,1080.0,825.8823529411765
18,780.0,823.3333333333334
19,830.0,823.6842105263158
20,780.0,821.5
21,830.0,821.9047619047619
22,330.0,799.5454545454545
23,980.0,807.3913043478261
24,380.0,789.5833333333334
25,1030.0,799.2
26,930.0,804.2307692307693
27,830.0,805.1851851851852
28,730.0,802.5
29,780.0,801.7241379310345
30,680.0,797.6666666666666
31,780.0,797.0967741935484
32,480.0,787.1875
33,980.0,793.030303030303
34,730.0,791.1764705882352
35,980.0,796.5714285714286
36,630.0,791.9444444444445
37,980.0,797.027027027027
38,1030.0,803.1578947368421
39,680.0,800.0
40,880.0,802.0
41,680.0,799.0243902439024
42,630.0,795.0
43,680.0,792.3255813953489
44,210.0,779.0909090909091
45,580.0,774.6666666666666
46,360.0,765.6521739130435
47,260.0,754.8936170212766
48,830.0,756.4583333333334
49,480.0,750.8163265306123
50,880.0,753.4
51,430.0,747.0588235294117
52,230.0,737.1153846153846
53,930.0,740.7547169811321
54,830.0,742.4074074074074
55,580.0,739.4545454545455
56,680.0,738.3928571428571
57,780.0,739.1228070175439
58,680.0,738.1034482758621
59,530.0,734.5762711864406
60,210.0,725.8333333333334
61,780.0,726.7213114754098
62,730.0,726.7741935483871
63,210.0,718.5714285714286
64,480.0,714.84375
65,930.0,718.1538461538462
66,210.0,710.4545454545455
67,230.0,703.2835820895523
68,380.0,698.5294117647059
69,680.0,698.2608695652174
70,480.0,695.1428571428571
71,930.0,698.4507042253521
72,1080.0,703.75
73,830.0,705.4794520547945
74,730.0,705.8108108108108
75,1080.0,710.8
76,1320.0,718.8157894736842
77,980.0,722.2077922077922
78,780.0,722.9487179487179
79,630.0,721.7721518987341
80,1180.0,727.5
81,630.0,726.2962962962963
82,480.0,723.2926829268292
83,380.0,719.156626506024
84,880.0,721.0714285714286
85,630.0,720.0
86,530.0,717.7906976744187
87,830.0,719.080459770115
88,830.0,720.3409090909091
89,980.0,723.2584269662922
90,980.0,726.1111111111111
91,1180.0,731.0989010989011
92,780.0,731.6304347826087
93,880.0,733.2258064516129
94,230.0,727.8723404255319
95,480.0,725.2631578947369
96,930.0,727.3958333333334
97,410.0,724.1237113402062
98,930.0,726.2244897959183
99,680.0,725.7575757575758
100,730.0,725.8
101,480.0,721.3
102,930.0,720.3
103,160.0,710.1
104,830.0,708.6
105,980.0,707.6
106,730.0,710.6
107,380.0,703.6
108,580.0,702.1
109,780.0,700.6
110,280.0,697.1
111,680.0,697.6
112,530.0,694.1
113,630.0,698.3
114,930.0,704.8
115,480.0,701.8
116,680.0,696.8
117,1080.0,696.8
118,730.0,696.3
119,730.0,695.3
120,630.0,693.8
121,610.0,691.6
122,410.0,692.4
123,930.0,691.9
124,880.0,696.9
125,530.0,691.9
126,1080.0,693.4
127,1180.0,696.9
128,630.0,695.9
129,730.0,695.4
130,780.0,696.4
131,980.0,698.4
132,1180.0,705.4
133,430.0,699.9
134,530.0,697.9
135,1080.0,698.9
136,580.0,698.4
137,530.0,693.9
138,930.0,692.9
139,730.0,693.4
140,1590.0,700.5
141,930.0,703.0
142,160.0,698.3
143,930.0,700.8
144,1180.0,710.5
145,430.0,709.0
146,980.0,715.2
147,580.0,718.4
148,680.0,716.9
149,880.0,720.9
150,780.0,719.9
151,1080.0,726.4
152,680.0,730.9
153,530.0,726.9
154,930.0,727.9
155,830.0,730.4
156,830.0,731.9
157,610.0,730.2
158,980.0,733.2
159,280.0,730.7
160,580.0,734.4
161,930.0,735.9
162,580.0,734.4
163,290.0,735.2
164,730.0,737.7
165,630.0,734.7
166,730.0,739.9
167,980.0,747.4
168,680.0,750.4
169,930.0,752.9
170,680.0,754.9
171,730.0,752.9
172,860.0,750.7
173,530.0,747.7
174,930.0,749.7
175,930.0,748.2
176,380.0,738.8
177,580.0,734.8
178,580.0,732.8
179,630.0,732.8
180,680.0,727.8
181,1180.0,733.3
182,180.0,730.3
183,980.0,736.3
184,1360.0,741.1
185,980.0,744.6
186,530.0,744.6
187,680.0,743.1
188,160.0,736.4
189,630.0,732.9
190,680.0,729.9
191,780.0,725.9
192,1180.0,729.9
193,980.0,730.9
194,630.0,734.9
195,180.0,731.9
196,830.0,730.9
197,190.0,728.7
198,330.0,722.7
199,1130.0,727.2
200,830.0,728.2
201,630.0,729.7
202,1180.0,732.2
203,280.0,733.4
204,830.0,733.4
205,780.0,731.4
206,1080.0,734.9
207,610.0,737.2
208,280.0,734.2
209,730.0,733.7
210,680.0,737.7
211,1180.0,742.7
212,830.0,745.7
213,830.0,747.7
214,310.0,741.5
215,1080.0,747.5
216,630.0,747.0
217,830.0,744.5
218,330.0,740.5
219,330.0,736.5
220,930.0,739.5
221,430.0,737.7
222,310.0,736.7
223,780.0,735.2
224,630.0,732.7
225,980.0,737.2
226,1180.0,738.2
227,880.0,735.2
228,480.0,733.7
229,1180.0,738.2
230,930.0,739.7
231,280.0,732.7
232,530.0,726.2
233,230.0,724.2
234,880.0,727.7
235,930.0,726.2
236,210.0,722.5
237,1180.0,729.0
238,240.0,722.1
239,880.0,723.6
240,930.0,717.0
241,1180.0,719.5
242,680.0,724.7
243,330.0,718.7
244,1080.0,717.7
245,1080.0,724.2
246,1280.0,727.2
247,280.0,724.2
248,1130.0,728.7
249,680.0,726.7
250,1180.0,730.7
251,830.0,728.2
252,680.0,728.2
253,130.0,724.2
254,780.0,722.7
255,480.0,719.2
256,330.0,714.2
257,280.0,710.9
258,830.0,709.4
259,580.0,712.4
260,1280.0,719.4
261,830.0,718.4
262,760.0,720.2
263,830.0,725.6
264,830.0,726.6
265,630.0,726.6
266,480.0,724.1
267,480.0,719.1
268,1180.0,724.1
269,930.0,724.1
270,530.0,722.6
271,240.0,717.7
272,980.0,718.9
273,1080.0,724.4
274,680.0,721.9
275,680.0,719.4
276,580.0,721.4
277,430.0,719.9
278,980.0,723.9
279,530.0,722.9
280,780.0,723.9
281,530.0,717.4
282,580.0,721.4
283,580.0,717.4
284,480.0,708.6
285,680.0,705.6
286,730.0,707.6
287,680.0,707.6
288,1180.0,717.8
289,630.0,717.8
290,580.0,716.8
291,530.0,714.3
292,510.0,707.6
293,180.0,699.6
294,530.0,698.6
295,830.0,705.1
296,980.0,706.6
297,210.0,706.8
298,780.0,711.3
299,310.0,703.1
300,660.0,701.4
