Episode,Episode Score,Running Average
1,830.0,830.0
2,360.0,595.0
3,280.0,490.0
4,430.0,475.0
5,1280.0,636.0
6,530.0,618.3333333333334
7,1130.0,691.4285714285714
8,260.0,637.5
9,730.0,647.7777777777778
10,1180.0,701.0
11,880.0,717.2727272727273
12,660.0,712.5
13,1080.0,740.7692307692307
14,1030.0,761.4285714285714
15,830.0,766.0
16,930.0,776.25
17,880.0,782.3529411764706
18,1180.0,804.4444444444445
19,680.0,797.8947368421053
20,880.0,802.0
21,1080.0,815.2380952380952
22,1030.0,825.0
23,980.0,831.7391304347826
24,1080.0,842.0833333333334
25,280.0,819.6
26,730.0,816.1538461538462
27,580.0,807.4074074074074
28,430.0,793.9285714285714
29,710.0,791.0344827586207
30,1080.0,800.6666666666666
31,880.0,803.2258064516129
32,1030.0,810.3125
33,610.0,804.2424242424242
34,210.0,786.7647058823529
35,1030.0,793.7142857142857
36,430.0,783.6111111111111
37,1080.0,791.6216216216217
38,930.0,795.2631578947369
39,190.0,779.7435897435897
40,530.0,773.5
41,1030.0,779.7560975609756
42,980.0,784.5238095238095
43,930.0,787.9069767441861
44,1030.0,793.4090909090909
45,930.0,796.4444444444445
46,680.0,793.9130434782609
47,260.0,782.5531914893617
48,1080.0,788.75
49,1030.0,793.6734693877551
50,780.0,793.4
51,380.0,785.2941176470588
52,730.0,784.2307692307693
53,780.0,784.1509433962265
54,610.0,780.925925925926
55,530.0,776.3636363636364
56,580.0,772.8571428571429
57,780.0,772.9824561403509
58,160.0,762.4137931034483
59,780.0,762.7118644067797
60,430.0,757.1666666666666
61,610.0,754.7540983606557
62,330.0,747.9032258064516
63,980.0,751.5873015873016
64,880.0,753.59375
65,780.0,754.0
66,880.0,755.9090909090909
67,830.0,757.0149253731344
68,780.0,757.3529411764706
69,1080.0,762.0289855072464
70,780.0,762.2857142857143
71,480.0,758.3098591549295
72,830.0,759.3055555555555
73,1080.0,763.6986301369863
74,1080.0,767.972972972973
75,1180.0,773.4666666666667
76,930.0,775.5263157894736
77,480.0,771.6883116883117
78,880.0,773.0769230769231
79,930.0,775.0632911392405
80,930.0,777.0
81,560.0,774.320987654321
82,1130.0,778.6585365853658
83,630.0,776.8674698795181
84,530.0,773.9285714285714
85,480.0,770.4705882352941
86,730.0,770.0
87,580.0,767.816091954023
88,1080.0,771.3636363636364
89,610.0,769.5505617977528
90,310.0,764.4444444444445
91,530.0,761.8681318681319
92,580.0,759.8913043478261
93,380.0,755.8064516129032
94,930.0,757.6595744680851
95,680.0,756.8421052631579
96,1180.0,761.25
97,730.0,760.9278350515464
98,680.0,760.1020408163265
99,630.0,758.7878787878788
100,280.0,754.0
101,480.0,750.5
102,680.0,753.7
103,630.0,757.2
104,580.0,758.7
105,430.0,750.2
106,1180.0,756.7
107,580.0,751.2
108,680.0,755.4
109,310.0,751.2
110,580.0,745.2
111,1180.0,748.2
112,980.0,751.4
113,330.0,743.9
114,480.0,738.4
115,780.0,737.9
116,930.0,737.9
117,310.0,732.2
118,480.0,725.2
119,730.0,725.7
120,1030.0,727.2
121,1030.0,726.7
122,830.0,724.7
123,830.0,723.2
124,830.0,720.7
125,410.0,722.0
126,630.0,721.0
127,1080.0,726.0
128,530.0,727.0
129,630.0,726.2
130,430.0,719.7
131,310.0,714.0
132,930.0,713.0
133,580.0,712.7
134,830.0,718.9
135,680.0,715.4
136,430.0,715.4
137,980.0,714.4
138,730.0,712.4
139,630.0,716.8
140,480.0,716.3
141,430.0,710.3
142,380.0,704.3
143,1030.0,705.3
144,980.0,704.8
145,830.0,703.8
146,1080.0,707.8
147,680.0,712.0
148,380.0,705.0
149,680.0,701.5
150,580.0,699.5
151,530.0,701.0
152,1080.0,704.5
153,830.0,705.0
154,730.0,706.2
155,230.0,703.2
156,140.0,698.8
157,1080.0,701.8
158,1030.0,710.5
159,230.0,705.0
160,830.0,709.0
161,830.0,711.2
162,290.0,710.8
163,530.0,706.3
164,830.0,705.8
165,1180.0,709.8
166,1080.0,711.8
167,290.0,706.4
168,1180.0,710.4
169,510.0,704.7
170,580.0,702.7
171,260.0,700.5
172,930.0,701.5
173,930.0,700.0
174,680.0,696.0
175,180.0,686.0
176,1030.0,687.0
177,480.0,687.0
178,1130.0,689.5
179,680.0,687.0
180,430.0,682.0
181,680.0,683.2
182,930.0,681.2
183,1080.0,685.7
184,1180.0,692.2
185,830.0,695.7
186,830.0,696.7
187,730.0,698.2
188,1130.0,698.7
189,1180.0,704.4
190,310.0,704.4
191,530.0,704.4
192,410.0,702.7
193,1030.0,709.2
194,930.0,709.2
195,660.0,709.0
196,530.0,702.5
197,480.0,700.0
