Episode,Episode Score,Running Average
1,880.0,880.0
2,1180.0,1030.0
3,930.0,996.6666666666666
4,480.0,867.5
5,880.0,870.0
6,980.0,888.3333333333334
7,1180.0,930.0
8,260.0,846.25
9,310.0,786.6666666666666
10,480.0,756.0
11,680.0,749.0909090909091
12,1080.0,776.6666666666666
13,830.0,780.7692307692307
14,330.0,748.5714285714286
15,780.0,750.6666666666666
16,230.0,718.125
17,760.0,720.5882352941177
18,680.0,718.3333333333334
19,580.0,711.0526315789474
20,980.0,724.5
21,980.0,736.6666666666666
22,530.0,727.2727272727273
23,930.0,736.0869565217391
24,210.0,714.1666666666666
25,980.0,724.8
26,980.0,734.6153846153846
27,780.0,736.2962962962963
28,480.0,727.1428571428571
29,730.0,727.2413793103449
30,1180.0,742.3333333333334
