Episode,Episode Score,Running Average
1,1080.0,1080.0
2,460.0,770.0
3,580.0,706.6666666666666
4,280.0,600.0
5,830.0,646.0
6,680.0,651.6666666666666
7,730.0,662.8571428571429
8,780.0,677.5
9,680.0,677.7777777777778
10,680.0,678.0
11,680.0,678.1818181818181
12,1180.0,720.0
13,230.0,682.3076923076923
14,730.0,685.7142857142857
15,680.0,685.3333333333334
16,680.0,685.0
17,160.0,654.1176470588235
18,1180.0,683.3333333333334
19,880.0,693.6842105263158
20,1130.0,715.5
21,280.0,694.7619047619048
22,980.0,707.7272727272727
23,980.0,719.5652173913044
24,880.0,726.25
25,230.0,706.4
26,1030.0,718.8461538461538
27,980.0,728.5185185185185
28,1180.0,744.6428571428571
29,180.0,725.1724137931035
30,480.0,717.0
31,1030.0,727.0967741935484
32,280.0,713.125
33,880.0,718.1818181818181
34,780.0,720.0
35,160.0,704.0
36,1080.0,714.4444444444445
37,680.0,713.5135135135135
38,530.0,708.6842105263158
39,730.0,709.2307692307693
40,780.0,711.0
