Episode,Episode Score,Running Average
1,730.0,730.0
2,480.0,605.0
3,580.0,596.6666666666666
4,830.0,655.0
5,430.0,610.0
6,880.0,655.0
7,930.0,694.2857142857143
8,730.0,698.75
9,160.0,638.8888888888889
10,860.0,661.0
11,780.0,671.8181818181819
12,980.0,697.5
13,880.0,711.5384615384615
14,180.0,673.5714285714286
15,880.0,687.3333333333334
16,880.0,699.375
17,730.0,701.1764705882352
18,980.0,716.6666666666666
19,680.0,714.7368421052631
20,1320.0,745.0
21,530.0,734.7619047619048
22,830.0,739.0909090909091
23,160.0,713.9130434782609
24,1130.0,731.25
25,830.0,735.2
26,580.0,729.2307692307693
27,430.0,718.1481481481482
28,680.0,716.7857142857143
29,830.0,720.6896551724138
30,980.0,729.3333333333334
31,1030.0,739.0322580645161
32,210.0,722.5
33,980.0,730.3030303030303
34,730.0,730.2941176470588
35,580.0,726.0
36,980.0,733.0555555555555
37,780.0,734.3243243243244
38,830.0,736.8421052631579
39,430.0,728.974358974359
40,330.0,719.0
41,380.0,710.7317073170732
42,430.0,704.047619047619
43,460.0,698.3720930232558
44,980.0,704.7727272727273
45,730.0,705.3333333333334
46,780.0,706.9565217391304
47,630.0,705.3191489361702
48,430.0,699.5833333333334
49,630.0,698.1632653061224
50,1030.0,704.8
51,780.0,706.2745098039215
52,360.0,699.6153846153846
53,1080.0,706.7924528301887
54,210.0,697.5925925925926
55,680.0,697.2727272727273
56,930.0,701.4285714285714
57,680.0,701.0526315789474
58,1320.0,711.7241379310345
59,280.0,704.4067796610169
60,260.0,697.0
61,580.0,695.0819672131148
62,580.0,693.2258064516129
63,680.0,693.015873015873
64,510.0,690.15625
65,1440.0,701.6923076923077
66,980.0,705.9090909090909
67,1300.0,714.776119402985
68,780.0,715.7352941176471
69,930.0,718.8405797101449
70,580.0,716.8571428571429
71,730.0,717.0422535211268
72,360.0,712.0833333333334
73,1080.0,717.1232876712329
74,1180.0,723.3783783783783
75,1080.0,728.1333333333333
76,780.0,728.8157894736842
77,780.0,729.4805194805194
78,1080.0,733.974358974359
79,1180.0,739.620253164557
80,980.0,742.625
81,780.0,743.0864197530864
82,880.0,744.7560975609756
83,880.0,746.3855421686746
84,630.0,745.0
85,260.0,739.2941176470588
86,1370.0,746.6279069767442
87,1300.0,752.9885057471264
88,580.0,751.0227272727273
89,980.0,753.5955056179776
90,1030.0,756.6666666666666
91,1080.0,760.2197802197802
92,230.0,754.4565217391304
93,380.0,750.4301075268817
94,1030.0,753.4042553191489
95,130.0,746.8421052631579
96,980.0,749.2708333333334
97,780.0,749.5876288659794
98,310.0,745.1020408163265
99,430.0,741.9191919191919
100,630.0,740.8
