Episode,Episode Score,Running Average
1,1180.0,1180.0
2,680.0,930.0
3,880.0,913.3333333333334
4,830.0,892.5
5,830.0,880.0
6,930.0,888.3333333333334
7,360.0,812.8571428571429
8,980.0,833.75
9,880.0,838.8888888888889
10,1360.0,891.0
11,880.0,890.0
12,580.0,864.1666666666666
13,780.0,857.6923076923077
14,1280.0,887.8571428571429
15,930.0,890.6666666666666
16,930.0,893.125
17,1030.0,901.1764705882352
18,380.0,872.2222222222222
19,530.0,854.2105263157895
20,880.0,855.5
21,830.0,854.2857142857143
22,780.0,850.9090909090909
23,780.0,847.8260869565217
24,580.0,836.6666666666666
25,930.0,840.4
26,330.0,820.7692307692307
27,480.0,808.1481481481482
28,1130.0,819.6428571428571
29,1080.0,828.6206896551724
30,980.0,833.6666666666666
31,610.0,826.4516129032259
32,480.0,815.625
33,1130.0,825.1515151515151
34,630.0,819.4117647058823
35,780.0,818.2857142857143
36,1080.0,825.5555555555555
37,880.0,827.027027027027
38,1030.0,832.3684210526316
39,260.0,817.6923076923077
40,880.0,819.25
41,480.0,810.9756097560976
42,410.0,801.4285714285714
43,380.0,791.6279069767442
44,1080.0,798.1818181818181
45,1080.0,804.4444444444445
46,980.0,808.2608695652174
47,1130.0,815.1063829787234
48,780.0,814.375
49,1080.0,819.795918367347
50,530.0,814.0
51,780.0,813.3333333333334
52,480.0,806.9230769230769
53,1080.0,812.0754716981132
54,930.0,814.2592592592592
55,630.0,810.9090909090909
56,780.0,810.3571428571429
57,830.0,810.7017543859649
58,930.0,812.7586206896551
59,830.0,813.0508474576271
60,680.0,810.8333333333334
61,630.0,807.8688524590164
62,1080.0,812.258064516129
63,680.0,810.1587301587301
64,330.0,802.65625
65,880.0,803.8461538461538
66,160.0,794.0909090909091
67,930.0,796.1194029850747
68,780.0,795.8823529411765
69,830.0,796.3768115942029
70,680.0,794.7142857142857
71,1030.0,798.0281690140845
72,980.0,800.5555555555555
73,1320.0,807.6712328767123
74,1180.0,812.7027027027027
75,630.0,810.2666666666667
76,260.0,803.0263157894736
77,980.0,805.3246753246754
78,580.0,802.4358974358975
79,830.0,802.7848101265823
80,630.0,800.625
81,530.0,797.283950617284
82,530.0,794.0243902439024
83,1080.0,797.4698795180723
84,710.0,796.4285714285714
85,530.0,793.2941176470588
86,1180.0,797.7906976744187
87,280.0,791.8390804597701
88,430.0,787.7272727272727
89,530.0,784.8314606741573
90,430.0,780.8888888888889
91,730.0,780.3296703296703
92,830.0,780.8695652173913
93,930.0,782.4731182795699
94,830.0,782.9787234042553
95,1390.0,789.3684210526316
96,1080.0,792.3958333333334
97,980.0,794.3298969072165
98,1030.0,796.734693877551
99,980.0,798.5858585858585
100,530.0,795.9
101,980.0,793.9
102,1080.0,797.9
103,830.0,797.4
104,1180.0,800.9
105,760.0,800.2
106,480.0,795.7
107,880.0,800.9
108,880.0,799.9
109,1080.0,801.9
110,1130.0,799.6
111,380.0,794.6
112,1280.0,801.6
113,280.0,796.6
114,1180.0,795.6
115,1340.0,799.7
116,1030.0,800.7
117,1130.0,801.7
118,1180.0,809.7
119,1130.0,815.7
120,980.0,816.7
121,430.0,812.7
122,230.0,807.2
123,1080.0,810.2
124,260.0,807.0
125,1080.0,808.5
126,730.0,812.5
127,680.0,814.5
128,980.0,813.0
129,880.0,811.0
130,980.0,811.0
131,1080.0,815.7
132,1080.0,821.7
133,1180.0,822.2
134,680.0,822.7
135,480.0,819.7
136,1080.0,819.7
137,730.0,818.2
138,1130.0,819.2
139,780.0,824.4
140,1030.0,825.9
141,480.0,825.9
142,1180.0,833.6
143,530.0,835.1
144,1180.0,836.1
145,230.0,827.6
146,780.0,825.6
147,680.0,821.1
148,830.0,821.6
149,780.0,818.6
150,1080.0,824.1
151,1180.0,828.1
152,380.0,827.1
153,830.0,824.6
154,880.0,824.1
155,780.0,825.6
156,1080.0,828.6
157,980.0,830.1
158,530.0,826.1
159,680.0,824.6
160,680.0,824.6
161,260.0,820.9
162,1390.0,824.0
163,530.0,822.5
164,580.0,825.0
165,880.0,825.0
166,1030.0,833.7
167,630.0,830.7
168,530.0,828.2
169,1080.0,830.7
170,530.0,829.2
171,160.0,820.5
172,1180.0,822.5
173,980.0,819.1
174,1080.0,818.1
175,1180.0,823.6
176,880.0,829.8
177,1180.0,831.8
178,480.0,830.8
179,1320.0,835.7
180,680.0,836.2
181,330.0,834.2
182,930.0,838.2
183,360.0,831.0
184,1280.0,836.7
185,830.0,839.7
186,880.0,836.7
187,530.0,839.2
188,1130.0,846.2
189,830.0,849.2
190,1320.0,858.1
191,880.0,859.6
192,380.0,855.1
193,880.0,854.6
194,980.0,856.1
195,330.0,845.5
196,580.0,840.5
197,760.0,838.3
198,1130.0,839.3
199,480.0,834.3
200,680.0,835.8
