Episode,Episode Score,Running Average
1,730.0,730.0
2,1080.0,905.0
3,730.0,846.6666666666666
4,1080.0,905.0
5,980.0,920.0
6,780.0,896.6666666666666
7,880.0,894.2857142857143
8,580.0,855.0
9,780.0,846.6666666666666
10,680.0,830.0
11,930.0,839.0909090909091
12,580.0,817.5
13,880.0,822.3076923076923
14,1180.0,847.8571428571429
15,530.0,826.6666666666666
16,1080.0,842.5
17,1180.0,862.3529411764706
18,460.0,840.0
19,310.0,812.1052631578947
20,430.0,793.0
21,980.0,801.9047619047619
22,630.0,794.0909090909091
23,1300.0,816.0869565217391
24,930.0,820.8333333333334
25,530.0,809.2
26,380.0,792.6923076923077
27,930.0,797.7777777777778
28,980.0,804.2857142857143
29,480.0,793.1034482758621
30,1180.0,806.0
31,1030.0,813.2258064516129
32,630.0,807.5
33,680.0,803.6363636363636
34,930.0,807.3529411764706
35,780.0,806.5714285714286
36,780.0,805.8333333333334
37,580.0,799.7297297297297
38,380.0,788.6842105263158
39,880.0,791.025641025641
40,1080.0,798.25
41,780.0,797.8048780487804
42,980.0,802.1428571428571
43,630.0,798.1395348837209
44,530.0,792.0454545454545
45,430.0,784.0
46,930.0,787.1739130434783
47,980.0,791.2765957446809
48,580.0,786.875
49,980.0,790.8163265306123
50,1180.0,798.6
51,980.0,802.156862745098
52,1180.0,809.4230769230769
53,280.0,799.433962264151
54,980.0,802.7777777777778
55,580.0,798.7272727272727
56,980.0,801.9642857142857
57,580.0,798.0701754385965
58,880.0,799.4827586206897
59,1030.0,803.3898305084746
60,530.0,798.8333333333334
61,830.0,799.344262295082
62,830.0,799.8387096774194
63,980.0,802.6984126984127
64,1180.0,808.59375
65,560.0,804.7692307692307
66,1080.0,808.939393939394
67,830.0,809.2537313432836
68,480.0,804.4117647058823
69,780.0,804.0579710144928
70,230.0,795.8571428571429
71,1130.0,800.5633802816901
72,780.0,800.2777777777778
73,930.0,802.054794520548
74,830.0,802.4324324324324
75,980.0,804.8
76,1180.0,809.7368421052631
77,530.0,806.1038961038961
78,660.0,804.2307692307693
79,430.0,799.493670886076
80,680.0,798.0
81,380.0,792.8395061728395
82,610.0,790.609756097561
83,1180.0,795.3012048192771
84,1030.0,798.0952380952381
85,530.0,794.9411764705883
86,580.0,792.4418604651163
87,930.0,794.0229885057471
88,830.0,794.4318181818181
89,980.0,796.5168539325842
90,830.0,796.8888888888889
91,1080.0,800.0
92,1080.0,803.0434782608696
93,1080.0,806.0215053763441
94,1180.0,810.0
95,1080.0,812.8421052631579
96,1280.0,817.7083333333334
97,280.0,812.1649484536083
98,630.0,810.3061224489796
99,830.0,810.5050505050505
100,460.0,807.0
101,980.0,809.5
102,1080.0,809.5
103,310.0,805.3
104,1030.0,804.8
105,930.0,804.3
106,830.0,804.8
107,360.0,799.6
108,480.0,798.6
109,580.0,796.6
110,430.0,794.1
111,1080.0,795.6
112,1080.0,800.6
113,680.0,798.6
114,830.0,795.1
115,330.0,793.1
116,980.0,792.1
117,410.0,784.4
118,730.0,787.1
119,1030.0,794.3
120,930.0,799.3
121,1610.0,805.6
122,830.0,807.6
123,980.0,804.4
124,630.0,801.4
125,1080.0,806.9
126,1080.0,813.9
127,980.0,814.4
128,830.0,812.9
129,730.0,815.4
130,1130.0,814.9
131,730.0,811.9
132,1280.0,818.4
133,380.0,815.4
134,1030.0,816.4
135,1030.0,818.9
136,380.0,814.9
137,1080.0,819.9
138,730.0,823.4
139,780.0,822.4
140,480.0,816.4
141,1180.0,820.4
142,880.0,819.4
143,1080.0,823.9
144,1030.0,828.9
145,1410.0,838.7
146,1080.0,840.2
147,1180.0,842.2
148,1080.0,847.2
149,830.0,845.7
150,730.0,841.2
151,380.0,835.2
152,630.0,829.7
153,830.0,835.2
154,680.0,832.2
155,980.0,836.2
156,330.0,829.7
157,1520.0,839.1
158,1520.0,845.5
159,680.0,842.0
160,830.0,845.0
161,980.0,846.5
162,1300.0,851.2
163,810.0,849.5
164,110.0,838.8
165,1080.0,844.0
166,730.0,840.5
167,1180.0,844.0
168,410.0,843.3
169,1180.0,847.3
170,1180.0,856.8
171,280.0,848.3
172,930.0,849.8
173,830.0,848.8
174,1030.0,850.8
175,830.0,849.3
176,680.0,844.3
177,980.0,848.8
178,830.0,850.5
179,1320.0,859.4
180,1080.0,863.4
181,330.0,862.9
182,730.0,864.1
183,1030.0,862.6
184,830.0,860.6
185,330.0,858.6
186,210.0,854.9
187,830.0,853.9
188,1080.0,856.4
189,1390.0,860.5
190,930.0,861.5
191,330.0,854.0
192,1180.0,855.0
193,1030.0,854.5
194,630.0,849.0
195,580.0,844.0
196,1180.0,843.0
197,830.0,848.5
198,730.0,849.5
199,730.0,848.5
